Day/Hours	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00
Sunday	14	4	4	7	6	5	7	4	9	7	5	4	:	:
Monday	:	:	:	:	5	8	12	12	16	14	13	10	3	:
Tuesday	:	:	:	:	6	9	14	16	18	11	14	12	10	:
Wednesday	:	:	:	:	6	8	9	11	12	7	11	9	3
Thursday	:	:	:	:	4	8	10	13	11	11	13	15	5
Friday	:	:	:	:	5	9	19	14	14	5	:	:	:	:
Saturday	6	3	15	18	8	18	8	18	10	6	:	:	:
